ProductCategoryKey,ProductSubcategoryKey,SalesTerritoryKey,GeographyKey,CustomerKey,ProductKey,CurrencyKey,OrderDateKey,DueDateKey,ShipDateKey,PromotionKey,SalesOrderNumber,SalesOrderLineNumber,RevisionNumber,OrderQuantity,UnitPrice,ExtendedAmount,UnitPriceDiscountPct,DiscountAmount,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmt,Freight,CarrierTrackingNumber,CustomerPONumber,CurrencyAlternateKey,CurrencyName,SalesTerritoryAlternateKey,SalesTerritoryRegion,SalesTerritoryCountry,SalesTerritoryGroup,ProductAlternateKey,WeightUnitMeasureCode,SizeUnitMeasureCode,EnglishProductName,SpanishProductName,FrenchProductName,StandardCost,FinishedGoodsFlag,Color,SafetyStockLevel,ReorderPoint,ListPrice,Size,SizeRange,Weight,DaysToManufacture,ProductLine,DealerPrice,Class,Style,ModelName,EnglishDescription
1,1,7,192,14186,353,100,20031219,20031231,20031226,2,SO60321,1,1,1,2319.99,2319.99,0,0,1265.6195,1265.6195,2319.99,185.5992,57.9998,null,null,USD,US Dollar,7,France,France,Europe,BK-M68S-38,LB ,CM ,"Mountain-200 Silver, 38","Montaña: 200, plateada, 38","VTT 200 argent, 38",1265.6195,TRUE,Silver,100,75,2319.99,38,38-40 CM,23.35,4,M ,1391.994,H ,U ,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
1,1,7,192,11340,360,100,20030430,20030512,20030507,1,SO50184,1,1,1,2049.0982,2049.0982,0,0,1105.81,1105.81,2049.0982,163.9279,51.2275,null,null,USD,US Dollar,7,France,France,Europe,BK-M68B-42,LB ,CM ,"Mountain-200 Black, 42","Montaña: 200, negra, 42","VTT 200 noir, 42",1105.81,TRUE,Black,100,75,2049.0982,42,42-46 CM,23.77,4,M ,1229.4589,H ,U ,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
1,1,7,192,11340,359,100,20030706,20030718,20030713,1,SO51262,1,1,1,2294.99,2294.99,0,0,1251.9813,1251.9813,2294.99,183.5992,57.3748,null,null,USD,US Dollar,7,France,France,Europe,BK-M68B-38,LB ,CM ,"Mountain-200 Black, 38","Montaña: 200, negra, 38","VTT 200 noir, 38",1251.9813,TRUE,Black,100,75,2294.99,38,38-40 CM,23.35,4,M ,1376.994,H ,U ,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
1,1,7,192,28689,360,100,20021021,20021102,20021028,1,SO47880,1,1,1,2049.0982,2049.0982,0,0,1105.81,1105.81,2049.0982,163.9279,51.2275,null,null,USD,US Dollar,7,France,France,Europe,BK-M68B-42,LB ,CM ,"Mountain-200 Black, 42","Montaña: 200, negra, 42","VTT 200 noir, 42",1105.81,TRUE,Black,100,75,2049.0982,42,42-46 CM,23.77,4,M ,1229.4589,H ,U ,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
1,1,7,192,21505,357,100,20040602,20040614,20040609,1,SO72010,1,1,1,2319.99,2319.99,0,0,1265.6195,1265.6195,2319.99,185.5992,57.9998,null,null,USD,US Dollar,7,France,France,Europe,BK-M68S-46,LB ,CM ,"Mountain-200 Silver, 46","Montaña: 200, plateada, 46","VTT 200 argent, 46",1265.6195,TRUE,Silver,100,75,2319.99,46,42-46 CM,24.13,4,M ,1391.994,H ,U ,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
1,1,7,192,16262,357,100,20040311,20040323,20040318,1,SO65961,1,1,1,2319.99,2319.99,0,0,1265.6195,1265.6195,2319.99,185.5992,57.9998,null,null,USD,US Dollar,7,France,France,Europe,BK-M68S-46,LB ,CM ,"Mountain-200 Silver, 46","Montaña: 200, plateada, 46","VTT 200 argent, 46",1265.6195,TRUE,Silver,100,75,2319.99,46,42-46 CM,24.13,4,M ,1391.994,H ,U ,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
1,1,7,192,12124,361,100,20030910,20030922,20030917,1,SO54111,1,1,1,2294.99,2294.99,0,0,1251.9813,1251.9813,2294.99,183.5992,57.3748,null,null,USD,US Dollar,7,France,France,Europe,BK-M68B-42,LB ,CM ,"Mountain-200 Black, 42","Montaña: 200, negra, 42","VTT 200 noir, 42",1251.9813,TRUE,Black,100,75,2294.99,42,42-46 CM,23.77,4,M ,1376.994,H ,U ,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
1,1,1,542,27255,358,100,20030413,20030425,20030420,1,SO50012,1,1,1,2049.0982,2049.0982,0,0,1105.81,1105.81,2049.0982,163.9279,51.2275,null,null,USD,US Dollar,1,Northwest,United States,North America,BK-M68B-38,LB ,CM ,"Mountain-200 Black, 38","Montaña: 200, negra, 38","VTT 200 noir, 38",1105.81,TRUE,Black,100,75,2049.0982,38,38-40 CM,23.35,4,M ,1229.4589,H ,U ,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
1,1,1,542,27226,358,100,20030408,20030420,20030415,1,SO49962,1,1,1,2049.0982,2049.0982,0,0,1105.81,1105.81,2049.0982,163.9279,51.2275,null,null,USD,US Dollar,1,Northwest,United States,North America,BK-M68B-38,LB ,CM ,"Mountain-200 Black, 38","Montaña: 200, negra, 38","VTT 200 noir, 38",1105.81,TRUE,Black,100,75,2049.0982,38,38-40 CM,23.35,4,M ,1229.4589,H ,U ,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
1,1,1,542,12025,359,100,20031215,20031227,20031222,1,SO60095,1,1,1,2294.99,2294.99,0,0,1251.9813,1251.9813,2294.99,183.5992,57.3748,null,null,USD,US Dollar,1,Northwest,United States,North America,BK-M68B-38,LB ,CM ,"Mountain-200 Black, 38","Montaña: 200, negra, 38","VTT 200 noir, 38",1251.9813,TRUE,Black,100,75,2294.99,38,38-40 CM,23.35,4,M ,1376.994,H ,U ,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
