product_id,user_id,rating
2,1,3.5
29,1,3.5
32,1,3.5
31,1,3.5
29,1,4
3,2,4
1,3,4
24,3,3
32,3,4
31,3,5
36,3,3
34,3,2
29,3,5
26,3,5
27,3,5
38,3,4
6,4,3
10,4,4
19,4,3
32,4,1
2,5,3
11,5,5
17,5,3
29,5,5
1,6,5
3,6,3
7,6,5
17,6,5
3,7,3
7,7,3
11,7,4
15,7,2
16,7,3
17,7,2
24,7,3
28,7,5
30,7,5
38,7,3
33,7,3
1,8,4
3,8,5
6,8,3
10,8,4
19,8,1
21,8,4
39,8,3
40,8,1
34,8,3
32,8,5
26,9,5
1,10,4
11,10,4
25,10,4
32,10,5
26,10,5
30,10,4
27,10,5
1,11,4.5
10,11,2.5
19,11,3.5
32,11,5
39,11,4.5
36,11,4
40,11,5
34,11,5
29,11,5
32,11,4.5
39,11,3.5
26,11,2.5
1,12,4
3,12,3
5,12,2
6,12,3
7,12,3
17,12,3
32,12,3
34,12,4
36,12,4
32,12,4
39,12,4
1,13,4
2,13,3
10,13,3
11,13,4
19,13,3
32,13,5
34,13,1
39,13,3
36,13,4
34,13,3
29,13,5
35,13,4
32,13,5
1,14,4.5
7,14,3.5
17,14,5
34,14,3
38,14,2.5
10,15,2
11,15,3
14,15,2
17,15,3
21,15,3
34,15,4
36,15,3
39,15,3
31,15,3
29,15,3
32,15,5
1,16,3
6,16,3
39,16,4
6,17,4
29,18,4.5
32,18,4
26,18,4
30,18,5
27,18,3.5
1,19,5
3,19,4
6,19,5
7,19,5
14,19,4
17,19,4
25,19,3
32,19,2
16,20,4
19,20,2.5
27,20,4
38,20,2.5
6,21,4
16,21,5
32,21,4
31,21,5
29,21,5
32,21,5
26,21,5
30,21,4
1,22,3
6,22,5
16,22,5
31,22,4
29,22,5
1,23,4
25,23,4
32,23,5
31,23,5
29,23,5
32,23,5
1,24,4
5,24,2
6,24,4
7,24,3
10,24,3
16,24,5
18,24,5
21,24,3
24,24,4
25,24,5
32,24,4
34,24,4
36,24,3
39,24,3
31,24,5
29,24,5
33,24,2
21,25,3.5
22,25,4
31,25,3
32,25,3.5
39,25,4.5
31,25,3.5
29,25,4
32,25,3.5
26,25,3.5
10,26,3
19,26,3
21,26,4
22,26,3
39,26,4
31,26,5
36,26,2
34,26,2
29,26,5
35,26,3
32,26,5
11,27,4
29,27,3
2,29,3
9,29,4
11,29,4
15,29,4
16,29,4
19,29,3
20,29,4
21,29,3
22,29,3
23,29,4
24,29,3
31,29,4
32,29,3
34,29,4
37,29,3
31,29,4
36,29,3
40,29,3
34,29,4
29,29,5
35,29,3
32,29,4
5,30,2.5
1,31,3
32,31,0.5
6,32,3
10,32,3
14,32,3
16,32,3
17,32,4
19,32,3
25,32,4
31,32,3
34,32,4
36,32,3
39,32,3
31,32,5
34,32,3
29,32,5
32,32,3
1,34,5
2,34,3
7,34,3
10,34,5
15,34,3
17,34,5
21,34,4
32,34,4
34,34,3
40,34,3
34,34,1
35,34,3
31,35,5
29,35,4
32,35,4.5
26,35,5
27,35,4.5
3,38,3
7,38,5
8,38,3
11,38,4
21,38,1
36,38,3
36,38,1
32,38,4
1,39,5
6,39,5
25,39,4
32,39,3
36,39,5
39,39,3
11,40,3
31,40,3
4,41,2
32,41,4
30,41,5
31,42,4.5
28,43,4.5
29,43,4
26,44,5
29,45,1.5
30,45,2.5
38,45,0.5
5,46,3
6,46,2
11,46,4
21,46,5
25,46,5
32,46,3
36,46,5
39,46,3
31,46,4
35,46,3
32,46,5
1,47,1
34,47,0.5
29,47,3.5
6,48,4
14,48,3
17,48,4
25,48,5
31,48,5
29,48,5
32,48,5
28,48,4
26,48,5
27,48,5
31,49,5
32,49,3.5
32,50,4
39,50,3.5
29,50,4
30,50,5
19,51,3
31,51,5
29,51,5
39,51,4
38,51,3
19,52,3
34,52,4
36,52,3
35,52,3
1,53,4
21,53,5
29,53,5
32,53,4
31,53,5
29,53,3
32,53,4
26,53,4
30,53,3
27,53,4
1,54,4
2,54,3
5,54,3
6,54,3
10,54,4
11,54,5
16,54,2
17,54,2
18,54,3
20,54,3
21,54,2
22,54,3
25,54,2
32,54,5
34,54,2
36,54,5
39,54,2
31,54,4
36,54,3
29,54,5
35,54,3
32,54,5
28,54,3
26,54,5
27,54,4
38,54,4
33,54,2
26,55,5
